,EJER,CCAA,PROV,SEXO,NACIONALIDAD,MODELO,M100_1,M100_2,M100_3,M100_4,M100_5,M100_6,M100_7,M100_8,M100_9,M100_10,M100_11,M100_12,M100_13,BIT,M100_15,M100_16,M100_17,M100_18,M100_19,M100_20,M100_21,M100_22,M100_23,M100_24,M100_25,M100_26,M100_27,Deduccion_donativos,M100_29,M100_30,M100_31,M100_32,M100_33,num_declarantes,M100_35
37,2022,"Madrid, Comunidad de",Madrid,Mujer,Extranjero,100,2479649549.88,1805872805.73,76873511.27,2369780.56,7710302.24,27674371.37,148262871.69,46625664.13,37205.31,5832945.14,82097304.01,2048171931.7,152485885.82,2200657817.52,2007924036.32,152392966.21,2154819195.8,1003437754.96,774086400.0,202199700.0,2726904.96,24424750.0,213925289.83,192919225.52,406844515.35,4737329.43,232423.6,2314977.04,7806722.76,383847712.65,1316652.38,-15829650.53,26199796.23,144164,138437
38,2022,"Madrid, Comunidad de",Madrid,Hombre,Extranjero,100,4477961408.25,3713786506.55,166041905.48,9889757.82,10403662.15,29948451.86,426174026.95,60576722.84,150135.66,7022092.35,217364513.07,4264093018.81,360648474.03,4624741492.84,4155425165.36,360337397.62,4506153854.47,1287961387.47,969952650.0,282857300.0,2168687.47,32982750.0,593763360.55,528579938.93,1122343299.48,7955753.8,1220029.02,3634636.76,8913241.51,1076378440.91,40401071.53,30658570.11,16854476.48,200566,173282
39,2022,"Madrid, Comunidad de",Madrid,Hombre,Nacional,100,63448737107.71,56382473836.34,3019435065.36,37066367.34,549223410.87,1013012462.35,5053160241.56,194829693.53,23027979.34,105993687.99,4218660608.74,63743082568.85,6920291865.54,70663374434.39,62272636272.11,6915142952.69,69134739526.02,13460759496.49,10755136350.0,1725973500.0,15504396.49,964145250.0,8916348707.65,8065803880.24,16982152587.89,219697638.54,27849557.64,101178996.94,54539418.91,16496987347.13,1041580825.04,934839792.23,147439930.47,2034884,1769051
40,2022,Galicia,Pontevedra,Mujer,Nacional,100,4309715912.82,3279010052.31,93838189.25,1471757.24,39587491.01,105537001.73,199789073.03,24913418.85,8414432.13,10346553.91,164754399.93,3711646502.92,253504454.91,3965150957.83,3653875629.62,253306655.0,3901947619.89,1733870681.65,1334842100.0,221565500.0,5063681.65,172399400.0,345251894.61,331004475.92,676256370.53,12408409.85,18636.36,5618515.66,3244845.13,654716670.78,27631023.78,2656299.21,33877675.28,230374,223333
41,2022,Galicia,Pontevedra,Mujer,Extranjero,100,71038174.74,41651229.68,557834.88,28535.48,137419.57,496808.07,4325804.05,1034950.84,56993.05,417252.1,960526.75,48416670.35,1498667.9,49915338.25,47005013.71,1488900.57,48221614.21,42979362.5,32316350.0,9195000.0,86512.5,1381500.0,3531228.91,3355643.54,6886872.45,78303.01,0.0,40127.76,83189.79,6612875.03,-359709.98,-1096636.23,993140.6,5987,5737
42,2022,Galicia,Pontevedra,Hombre,Nacional,100,6063774524.77,5069332727.96,150469138.61,2700594.04,41019445.83,92693428.16,379772934.52,29366893.03,11303424.29,12160534.84,172804177.61,5691653980.06,312915643.41,6004569623.47,5503250545.34,312388105.17,5807554086.76,1962189455.82,1518493400.0,222242600.0,5457955.82,215995500.0,568429461.34,546612900.26,1115042361.6,16450109.34,221576.61,5099491.06,4503741.02,1087079641.51,14955811.86,-6479006.17,25801526.18,293649,248969
43,2022,Galicia,Pontevedra,Hombre,Extranjero,100,136199758.83,102839702.45,793798.4,45711.76,199355.41,494640.5,11835843.96,1186789.5,38439.82,392585.63,1362217.12,117445107.33,2134859.97,119579967.3,113527526.15,2119709.72,115288441.14,53704775.0,40811300.0,10762250.0,74725.0,2056500.0,11847544.95,11323313.49,23170858.44,153887.25,3493.24,54974.14,152250.83,22629429.49,-300005.41,-735110.93,709922.2,8391,7207
44,2022,"Murcia, Región de",Murcia,Mujer,Nacional,100,5593981452.79,4218878698.94,136438298.79,1935243.51,81746990.03,112640141.33,252272060.13,25126146.0,26249814.57,10794657.27,214971458.91,4786695168.17,341211596.2,5127906764.37,4707196433.77,340885282.22,5043110220.77,2304875462.42,1687492000.0,373706650.0,3626062.42,240050750.0,462529270.47,443268704.1,905797974.57,21376748.89,441562.63,7566780.35,11094280.81,868471681.59,23208413.78,-15134513.92,57330246.66,297773,287243
45,2022,"Murcia, Región de",Murcia,Mujer,Extranjero,100,307825172.45,153799839.72,2163196.82,129119.64,1144620.49,2354829.72,15818494.67,4257402.4,416699.13,1155853.91,5138126.38,179996718.1,7162137.81,187158855.91,173951366.17,7139834.14,180609075.63,209699175.0,156767050.0,48072600.0,162525.0,4697000.0,10747574.49,10384992.1,21132566.59,368716.63,4024.22,91468.36,513665.38,19884634.96,939002.94,-2238300.89,4863356.66,28553,27368
46,2022,"Murcia, Región de",Murcia,Hombre,Nacional,100,8383395628.67,6919413084.21,242697388.86,3459183.57,100664767.79,117353996.58,614690102.97,47313176.95,58864222.12,15075451.8,331056339.08,7965633469.17,555977415.5,8521610884.67,7654032428.2,555213327.0,8199363886.88,2896746947.44,2084983800.0,461416850.0,4525797.44,345820500.0,805130909.72,774223391.73,1579354301.45,35295453.02,1106054.66,8209805.03,7911961.27,1524674885.84,34164232.92,-4033030.18,55473865.9,424117,348093
